loopIteration,time,gyroADC[0],gyroADC[1],gyroADC[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],quat[0],quat[1],quat[2],quat[3]
0,1525582,0,0,0,-7,-84,2050,158,158,158,158,8127,-65,-5,0
16,1533544,0,0,0,-7,-83,2050,158,158,158,158,8127,-67,-6,0
32,1541563,0,0,0,-8,-84,2050,158,158,158,158,8127,-69,-6,0
48,1549548,0,0,0,-8,-83,2050,158,158,158,158,8127,-71,-6,0
64,1557547,0,0,0,-8,-83,2050,158,158,158,158,8127,-73,-6,0
80,1565530,0,0,0,-7,-83,2050,158,158,158,158,8127,-75,-6,0
96,1573510,0,0,0,-7,-83,2050,158,158,158,158,8127,-77,-7,0
112,1581537,0,0,0,-7,-84,2050,158,158,158,158,8127,-79,-7,0
128,1589486,0,0,0,-7,-83,2049,158,158,158,158,8127,-80,-7,0
144,1597505,0,0,0,-6,-83,2049,158,158,158,158,8127,-82,-7,0
160,1605489,0,0,0,-7,-83,2050,158,158,158,158,8127,-84,-7,0
176,1613483,0,0,0,-7,-83,2050,158,158,158,158,8127,-85,-7,0
192,1621469,0,0,0,-8,-83,2050,158,158,158,158,8127,-87,-7,0
208,1629449,0,0,0,-7,-82,2050,158,158,158,158,8127,-88,-8,0
224,1637468,0,0,0,-7,-84,2049,158,158,158,158,8127,-90,-8,0
240,1645431,0,0,0,-7,-84,2049,158,158,158,158,8126,-91,-8,0
256,1653458,0,0,0,-7,-84,2050,158,158,158,158,8126,-93,-8,0
272,1661431,0,0,0,-7,-82,2049,158,158,158,158,8126,-94,-8,0
288,1669424,0,0,0,-7,-83,2050,158,158,158,158,8126,-96,-8,0
304,1677410,0,0,0,-7,-84,2050,158,158,158,158,8126,-97,-8,0
320,1685386,0,0,0,-7,-83,2050,158,158,158,158,8126,-98,-8,0
336,1693402,0,0,0,-7,-83,2050,158,158,158,158,8126,-100,-8,0
352,1701369,0,0,0,-8,-83,2049,158,158,158,158,8126,-101,-9,0
368,1709391,0,0,0,-7,-83,2049,158,158,158,158,8126,-102,-9,0
384,1717371,0,0,0,-7,-82,2050,158,158,158,158,8126,-103,-9,0
400,1725378,0,0,0,-8,-83,2050,158,158,158,158,8126,-105,-9,0
416,1733353,0,0,0,-8,-83,2050,158,158,158,158,8126,-106,-9,0
432,1741328,0,0,0,-7,-82,2051,158,158,158,158,8126,-107,-9,0
448,1749331,0,0,0,-6,-82,2049,158,158,158,158,8126,-108,-9,0
464,1757307,0,0,0,-6,-83,2048,158,158,158,158,8126,-109,-9,0
480,1765323,0,0,0,-6,-82,2048,158,158,158,158,8126,-110,-9,0
496,1773311,0,0,0,-6,-83,2048,158,158,158,158,8126,-111,-9,0
512,1781312,0,0,0,-7,-83,2049,158,158,158,158,8126,-112,-9,0
528,1789294,0,0,0,-7,-82,2050,158,158,158,158,8126,-113,-10,0
544,1797274,0,0,0,-7,-83,2050,158,158,158,158,8126,-114,-10,0
560,1805273,0,0,0,-7,-83,2050,158,158,158,158,8126,-115,-10,0
576,1813250,0,0,0,-6,-83,2049,158,158,158,158,8126,-116,-10,0
592,1821266,0,0,0,-6,-83,2049,158,158,158,158,8126,-117,-10,0
608,1829253,0,0,0,-6,-83,2049,158,158,158,158,8126,-118,-10,0
624,1837245,0,0,0,-7,-83,2050,158,158,158,158,8126,-119,-10,0
640,1845233,0,0,0,-8,-84,2050,158,158,158,158,8126,-120,-10,0
656,1853213,0,0,0,-8,-84,2050,158,158,158,158,8126,-121,-10,0
672,1861214,0,0,0,-7,-83,2050,158,158,158,158,8126,-122,-10,0
688,1869195,0,0,0,-5,-84,2050,158,158,158,158,8126,-123,-10,0
704,1877222,0,0,0,-10,-84,2051,158,158,158,158,8126,-123,-10,0
720,1885194,0,0,0,-5,-82,2054,158,158,158,158,8126,-124,-10,0
