loopIteration,time,gyroADC[0],gyroADC[1],gyroADC[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],quat[0],quat[1],quat[2],quat[3]
0,480259934,0,0,0,-19,-12,2058,158,158,158,158,8111,-27,-34,-513
16,480267867,0,0,0,-19,-12,2058,158,158,158,158,8111,-27,-34,-513
32,480275801,0,0,0,-19,-12,2059,158,158,158,158,8111,-27,-34,-513
48,480283734,0,0,0,-19,-12,2059,158,158,158,158,8111,-27,-34,-513
64,480291666,0,0,0,-19,-12,2060,158,158,158,158,8111,-27,-34,-513
80,480299601,0,0,0,-19,-12,2059,158,158,158,158,8111,-27,-34,-513
96,480307532,0,0,0,-19,-12,2060,158,158,158,158,8111,-27,-34,-513
112,480315465,0,0,0,-18,-12,2060,158,158,158,158,8111,-27,-34,-513
128,480323398,0,0,0,-18,-13,2060,158,158,158,158,8111,-27,-34,-513
144,480331331,0,0,0,-19,-12,2060,158,158,158,158,8111,-27,-34,-513
160,480339264,0,0,0,-19,-13,2060,158,158,158,158,8111,-27,-34,-513
176,480347198,0,0,0,-19,-13,2059,158,158,158,158,8111,-27,-34,-513
192,480355131,0,0,0,-19,-12,2059,158,158,158,158,8111,-27,-34,-513
208,480363063,0,0,0,-19,-13,2059,158,158,158,158,8111,-27,-34,-513
224,480370996,0,0,0,-19,-13,2060,158,158,158,158,8111,-27,-34,-513
240,480378930,0,0,0,-19,-12,2059,158,158,158,158,8111,-27,-34,-513
256,480386862,0,0,0,-19,-13,2060,158,158,158,158,8111,-27,-34,-513
272,480394795,0,0,0,-20,-13,2060,158,158,158,158,8111,-27,-34,-513
288,480402729,0,0,0,-20,-12,2060,158,158,158,158,8111,-27,-34,-513
304,480410661,0,0,0,-19,-12,2060,158,158,158,158,8111,-27,-34,-513
320,480418595,0,0,0,-20,-12,2061,158,158,158,158,8111,-27,-34,-513
336,480426527,0,0,0,-19,-12,2060,158,158,158,158,8111,-27,-34,-513
352,480434460,0,0,0,-20,-13,2059,158,158,158,158,8111,-27,-34,-513
368,480442393,0,0,0,-20,-12,2060,158,158,158,158,8111,-27,-34,-513
384,480450326,0,0,0,-19,-12,2060,158,158,158,158,8111,-27,-34,-513
400,480458259,0,0,0,-19,-13,2060,158,158,158,158,8111,-27,-34,-513
416,480466192,0,0,0,-19,-13,2060,158,158,158,158,8111,-27,-34,-513
432,480474125,0,0,0,-19,-14,2060,158,158,158,158,8111,-27,-34,-513
448,480482058,0,0,0,-19,-14,2059,158,158,158,158,8111,-27,-34,-513
464,480489991,0,0,0,-19,-12,2059,158,158,158,158,8111,-27,-34,-513
480,480497924,0,0,0,-19,-13,2059,158,158,158,158,8111,-27,-34,-513
496,480505857,0,0,0,-20,-14,2059,158,158,158,158,8111,-27,-34,-513
512,480513790,0,0,0,-20,-14,2060,158,158,158,158,8111,-27,-34,-513
528,480521723,0,0,0,-19,-12,2060,158,158,158,158,8111,-27,-34,-513
544,480529656,0,0,0,-19,-13,2060,158,158,158,158,8111,-27,-34,-513
560,480537589,0,0,0,-19,-12,2060,158,158,158,158,8111,-27,-34,-513
576,480545522,0,0,0,-19,-12,2060,158,158,158,158,8111,-27,-34,-513
592,480553456,0,0,0,-19,-12,2059,158,158,158,158,8111,-27,-34,-513
608,480561388,0,0,0,-20,-13,2059,158,158,158,158,8111,-27,-34,-513
624,480569321,0,0,0,-20,-13,2060,158,158,158,158,8111,-27,-34,-513
640,480577254,0,0,0,-19,-13,2059,158,158,158,158,8111,-27,-34,-513
656,480585187,0,0,0,-19,-13,2059,158,158,158,158,8111,-27,-34,-513
672,480593120,0,0,0,-19,-13,2059,158,158,158,158,8111,-27,-34,-513
688,480601053,0,0,0,-18,-13,2058,158,158,158,158,8111,-27,-34,-513
704,480608986,0,0,0,-18,-12,2059,158,158,158,158,8111,-27,-34,-513
720,480616919,0,0,0,-18,-12,2059,158,158,158,158,8111,-27,-34,-513
736,480624852,0,0,0,-20,-13,2060,158,158,158,158,8111,-27,-34,-513
752,480632785,0,0,0,-20,-12,2059,158,158,158,158,8111,-27,-34,-513
768,480640718,0,0,0,-20,-13,2059,158,158,158,158,8111,-27,-34,-513
784,480648651,0,0,0,-19,-13,2060,158,158,158,158,8111,-27,-34,-513
800,480656584,0,0,0,-19,-13,2059,158,158,158,158,8111,-27,-34,-513
816,480664517,0,0,0,-19,-13,2059,158,158,158,158,8111,-27,-34,-513
832,480672450,0,0,0,-19,-13,2060,158,158,158,158,8111,-27,-34,-513
848,480680383,0,0,0,-19,-12,2059,158,158,158,158,8111,-27,-34,-513
864,480688316,0,0,0,-19,-13,2059,158,158,158,158,8111,-27,-34,-513
880,480696249,0,0,0,-19,-13,2060,158,158,158,158,8111,-27,-34,-513
896,480704182,0,0,0,-18,-13,2059,158,158,158,158,8111,-27,-34,-513
