time,gyroADC[0],gyroADC[1],gyroADC[2],accSmooth[0],accSmooth[1],accSmooth[2]
0.01,5.252755511,2.105505252,2.616718233,-21.85805754,55.09816492,-10.3100893
0.02,5.280210759,2.159745478,2.532476358,-19.94917893,54.54302077,-15.3214609
0.03,5.307419637,2.212456228,2.445673772,-18.06810806,53.47029498,-20.2597124
0.04,5.334289167,2.263561956,2.356356007,-16.22630787,51.88888088,-25.08022898
0.05,5.360726146,2.312986782,2.264574524,-14.43403194,49.812053,-29.73878051
0.06,5.386637522,2.360654789,2.170386904,-12.70023366,47.25745968,-34.19193302
0.07,5.411930783,2.406490357,2.073856987,-11.03249417,44.24707233,-38.39747489
0.08,5.436514372,2.450418498,1.975054993,-9.43697064,40.80708827,-42.31485261
0.09,5.460298108,2.49236521,1.874057592,-7.918366189,36.96778511,-45.90561023
0.1,5.48319362,2.53225785,1.770947934,-6.479922574,32.76332499,-49.13382625
0.11,5.505114789,2.570025501,1.665815636,-5.12343618,28.23150816,-51.96654101
0.12,5.525978193,2.605599354,1.558756719,-3.849297594,23.41347598,-54.37416731
0.13,5.545703553,2.638913093,1.449873498,-2.65655451,18.35336464,-56.33087685
0.14,5.564214171,2.66990327,1.339274427,-1.54299728,13.09791187,-57.81495495
0.15,5.581437371,2.698509681,1.227073884,-0.505265887,7.696019859,-58.80911618
0.16,5.597304913,2.72467573,1.113391917,0.461023308,2.19827898,-59.30077401
0.17,5.611753405,2.748348782,0.998353934,1.361133218,-3.343542443,-59.28225787
0.18,5.624724682,2.769480492,0.88209035,2.201046676,-8.877035797,-58.7509719
0.19,5.636166165,2.788027122,0.764736187,2.987295049,-14.34971007,-57.70949077
0.2,5.646031198,2.803949827,0.64643063,3.726778165,-19.70956198,-56.16558859
0.21,5.654279338,2.817214914,0.52731655,4.426579132,-24.90564976,-54.13219861
0.22,5.66087662,2.827794067,0.407539982,5.093777825,-29.88866173,-51.62730262
0.23,5.665795777,2.835664548,0.287249583,5.7352669,-34.6114705,-48.67375018
0.24,5.66901642,2.840809345,0.166596056,6.357574185,-39.02966383,-45.29900957
0.25,5.670525174,2.843217297,0.045731562,6.966695187,-43.10204332,-41.53485371
0.26,5.670315766,2.842883168,-0.07519089,7.567939257,-46.79108266,-37.41698548
0.27,5.668389067,2.839807686,-0.196018058,8.165792623,-50.063338,-32.98460863
0.28,5.664753086,2.833997533,-0.316597085,8.763801161,-52.88980353,-28.27995104
0.29,5.659422917,2.825465307,-0.436776109,9.364475245,-55.24620702,-23.34774874
0.3,5.652420639,2.814229426,-0.556404872,9.969218566,-57.11324061,-18.23469924
0.31,5.643775169,2.800314004,-0.675335303,10.57828217,-58.47672404,-12.98889384
0.32,5.633522071,2.783748685,-0.793422088,11.19074445,-59.3276985,-7.65923856
0.33,5.621703329,2.76456844,-0.910523209,11.80451706,-59.66245073,-2.294873445
