time,accSmooth[0],accSmooth[1],accSmooth[2],gyroADC[0],gyroADC[1],gyroADC[2]
0.001,8.40070557,3.361410904,4.197882667,-56.38476643,141.148469,-10.01294061
0.002,8.40775788,3.375487233,4.176650708,-55.75189523,141.415361,-12.07902066
0.003,8.4148036,3.389503755,4.155312329,-55.11813929,141.6498114,-14.15057774
0.004,8.421842126,3.40345998,4.133867779,-54.48362491,141.851709,-16.22719016
0.005,8.428872852,3.417355417,4.112317311,-53.84847737,142.0209486,-18.30843355
0.006,8.435895174,3.431189576,4.090661185,-53.21282087,142.1574315,-20.39388093
0.007,8.442908484,3.444961964,4.068899667,-52.57677848,142.2610649,-22.48310285
0.008,8.449912176,3.458672089,4.047033029,-51.94047211,142.3317625,-24.57566739
0.009,8.456905641,3.472319458,4.025061548,-51.30402251,142.3694442,-26.67114027
0.01,8.463888272,3.485903577,4.002985507,-50.66754916,142.3740366,-28.76908494
0.011,8.47085946,3.499423951,3.980805198,-50.03117031,142.3454723,-30.86906265
0.012,8.477818594,3.512880085,3.958520914,-49.39500288,142.2836909,-32.97063251
0.013,8.484765066,3.526271483,3.936132959,-48.75916247,142.1886381,-35.07335161
0.014,8.491698264,3.53959765,3.91364164,-48.12376332,142.0602666,-37.17677508
0.015,8.498617579,3.552858089,3.891047272,-47.48891824,141.8985354,-39.28045618
0.016,8.505522399,3.566052303,3.868350175,-46.85473861,141.7034105,-41.38394639
0.017,8.512412114,3.579179795,3.845550675,-46.22133435,141.4748645,-43.48679549
0.018,8.519286113,3.592240067,3.822649107,-45.58881384,141.2128767,-45.58855169
0.019,8.526143784,3.605232622,3.799645808,-44.95728394,140.9174333,-47.68876164
0.02,8.532984516,3.618156962,3.776541125,-44.32684995,140.5885274,-49.78697061
0.021,8.539807699,3.631012589,3.753335411,-43.69761554,140.226159,-51.88272254
0.022,8.546612721,3.643799006,3.730029022,-43.06968276,139.8303349,-53.97556012
0.023,8.553398971,3.656515714,3.706622325,-42.44315199,139.401069,-56.06502493
0.024,8.56016584,3.669162216,3.68311569,-41.8181219,138.9383823,-58.15065752
0.025,8.566912717,3.681738013,3.659509496,-41.19468946,138.4423026,-60.23199747
0.026,8.573638992,3.694242609,3.635804127,-40.57294985,137.9128649,-62.30858357
0.027,8.580344056,3.706675505,3.611999974,-39.95299651,137.3501113,-64.37995385
0.028,8.587027301,3.719036205,3.588097434,-39.33492101,136.7540911,-66.44564571
0.029,8.593688118,3.731324212,3.564096912,-38.71881314,136.1248606,-68.50519604
0.03,8.6003259,3.74353903,3.539998817,-38.10476079,135.4624835,-70.55814129
0.031,8.60694004,3.755680162,3.515803568,-37.49284996,134.7670304,-72.6040176
0.032,8.613529932,3.767747113,3.491511589,-36.88316474,134.0385795,-74.64236092
0.033,8.620094971,3.779739388,3.467123309,-36.27578727,133.2772158,-76.67270709
0.034,8.626634553,3.791656494,3.442639167,-35.67079775,132.4830321,-78.69459194
0.035,8.633148075,3.803497936,3.418059606,-35.06827435,131.656128,-80.70755145
0.036,8.639634935,3.815263222,3.393385077,-34.46829326,130.7966107,-82.71112182
0.037,8.646094532,3.826951859,3.368616038,-33.87092863,129.9045946,-84.7048396
0.038,8.652526267,3.838563356,3.343752952,-33.27625255,128.9802014,-86.68824178
